Rank,Score,Company,Role Title,Type,Comp Benchmark,Why It Fits Alex,Lead Angle for Resume/Cover Letter,Job URL
12,7,Publicis Groupe,"Manager, AI Engineering",Hybrid,"~$160K-$200K base + bonus, ~$180K-$250K total comp est. (NYC AI eng manager, holdco; Glassdoor/estimate)","Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Publicis Groupe's trust-and-security surface.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take 'CoreAI' system unifying first-party data (Epsilon identity graph) with €300M AI investment from concept to shipped product.",Open
13,6,CrowdStrike,Principal Product Manager - Threat Detection Engine and Content (Hybrid),Hybrid,~$180K-$220K base; total ~$280K-$400K with RSUs (Levels.fyi/Glassdoor CrowdStrike Principal PM),"CrowdStrike's emphasis on Charlotte AI (agentic SOC) lines up with the identity and access work Alex has actually shipped -- Alex's LBR work re-architecting enterprise identity (SSO/SAML/OIDC, 150+ AmLaw 200 firms) and subscription/entitlements at billions of requests/mo, plus at Manatt he led IAM for a research platform serving 1,000+ clients.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex honestly as a hands-on technical PM operating at IC/lead scope rather than a large-org people manager.,Open
14,6,Datadog,"Director, Product Management - Core Platforms",Hybrid,"~$280K-$360K base; ~$450K-$650K+ total comp (Levels.fyi/Glassdoor estimate, Datadog Director PM).","This role sits squarely in Alex's wheelhouse: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. That identity-and-security work maps directly onto Datadog's focus on LLM/Agent Observability.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a technical PM who has led at IC/lead scope; be transparent that this title implies broader people-management than his current span.",Open
15,6,Datadog,Product Manager II - Model Lab,Hybrid,~$170K-$210K base; ~$250K-$340K total comp (Levels.fyi PM II at Datadog).,"Datadog's emphasis on LLM/Agent Observability lines up with the identity and access work Alex has actually shipped -- Alex's LBR work re-architecting enterprise identity (SSO/SAML/OIDC, 150+ AmLaw 200 firms) and subscription/entitlements at billions of requests/mo, plus at Manatt he led IAM for a research platform serving 1,000+ clients.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
16,6,Datadog,Product Manager II - Security Graph Foundations,On-site,~$170K-$210K base; ~$250K-$340K total comp (Levels.fyi PM II at Datadog).,"This role sits squarely in Alex's wheelhouse: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. That identity-and-security work maps directly onto Datadog's focus on LLM/Agent Observability.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
17,6,Datadog,"Product Manager II, AI & Data Security",Hybrid,~$170K-$210K base; ~$250K-$340K total comp (Levels.fyi PM II at Datadog).,"Few PMs have owned enterprise identity at this scale. At LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms; at Manatt he led IAM for a research platform serving 1,000+ clients -- a strong match for a security-and-access mandate like this.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take LLM/Agent Observability from concept to shipped product.",Open
18,6,Datadog,Senior Product Manager - Data Agent,Hybrid,~$200K-$240K base; ~$320K-$420K total comp (Levels.fyi Senior PM at Datadog).,"Datadog's emphasis on LLM/Agent Observability lines up with the identity and access work Alex has actually shipped -- Alex's LBR work re-architecting enterprise identity (SSO/SAML/OIDC, 150+ AmLaw 200 firms) and subscription/entitlements at billions of requests/mo, plus at Manatt he led IAM for a research platform serving 1,000+ clients.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take LLM/Agent Observability from concept to shipped product.",Open
19,6,Datadog,Senior Product Manager - Integrations & Ecosystem,Hybrid,~$200K-$240K base; ~$320K-$420K total comp (Levels.fyi Senior PM at Datadog).,"This role sits squarely in Alex's wheelhouse: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. That identity-and-security work maps directly onto Datadog's focus on LLM/Agent Observability.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex as a technical PM who ships 0-to-1 and partners tightly with engineering.,Open
20,6,Datadog,Senior Product Manager - Network Path,Hybrid,~$200K-$240K base; ~$320K-$420K total comp (Levels.fyi Senior PM at Datadog).,"Few PMs have owned enterprise identity at this scale. At LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms; at Manatt he led IAM for a research platform serving 1,000+ clients -- a strong match for a security-and-access mandate like this.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take LLM/Agent Observability from concept to shipped product.",Open
21,6,Datadog,"Senior Product Manager, AAA/Enterprise Growth",Hybrid,~$200K-$240K base; ~$320K-$420K total comp (Levels.fyi Senior PM at Datadog).,"This role sits squarely in Alex's wheelhouse: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. That identity-and-security work maps directly onto Datadog's focus on LLM/Agent Observability.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
22,6,Incedo Inc.,Senior Product Owner - Wealth Management,On-site,"~$130K-$170K base; ~$150K-$190K total comp (Glassdoor/estimate, Sr Product Owner at consulting firm).",Alex brings enterprise platform depth -- re-architecting LBR's identity and subscription systems at billions of requests/mo -- alongside a personally built multi-agent system. Both serve Incedo Inc.'s Incedo Lighthouse AI platform.,"Open on platform scope -- LBR's identity/subscription infrastructure -- and add the AI API workspace. Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
23,6,Rogo,Product Manager | Security,On-site,"~$170K-$210K base + equity, ~$230K-$340K total comp est. (Levels.fyi/estimate)","Rogo's emphasis on Agentic AI platform for finance ('Wall Street's first AI analyst') lines up with the identity and access work Alex has actually shipped -- Alex's LBR work re-architecting enterprise identity (SSO/SAML/OIDC, 150+ AmLaw 200 firms) and subscription/entitlements at billions of requests/mo, plus at Manatt he led IAM for a research platform serving 1,000+ clients.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex as a technical PM who ships 0-to-1 and partners tightly with engineering.,Open
24,6,SecurityScorecard,"Principal Product Manager, AI",Hybrid,$175K-$285K total comp per posting,"SecurityScorecard's emphasis on Agentic AI workflows for risk detection/response lines up with the identity and access work Alex has actually shipped -- Alex's LBR work re-architecting enterprise identity (SSO/SAML/OIDC, 150+ AmLaw 200 firms) and subscription/entitlements at billions of requests/mo, plus at Manatt he led IAM for a research platform serving 1,000+ clients.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as a builder-PM at IC/lead level -- a deliberate, honest framing given the seniority of this title.",Open
25,6,SecurityScorecard,"Principal Product Manager, AI",Remote,$175K-$285K total comp per posting,On the agent side Alex isn't theoretical -- his solo-built CreateSuite is an autonomous multi-agent orchestration system with git-backed persistence spanning six model providers. That pairs naturally with SecurityScorecard's push into Agentic AI workflows for risk detection/response and his developer-facing AI API platform at LBR.,"Open on CreateSuite's multi-agent orchestration, then show the LBR oRPC AI API workspace as production-grade proof. Pitch him as a builder-PM at IC/lead level -- a deliberate, honest framing given the seniority of this title.",Open
26,6,SecurityScorecard,"Principal Product Manager, AI",Remote,$175K-$285K total comp per posting,On the agent side Alex isn't theoretical -- his solo-built CreateSuite is an autonomous multi-agent orchestration system with git-backed persistence spanning six model providers. That pairs naturally with SecurityScorecard's push into Agentic AI workflows for risk detection/response and his developer-facing AI API platform at LBR.,"Open on CreateSuite's multi-agent orchestration, then show the LBR oRPC AI API workspace as production-grade proof. Pitch him as a builder-PM at IC/lead level -- a deliberate, honest framing given the seniority of this title.",Open
27,6,SecurityScorecard,"Principal Product Manager, AI",Remote,$175K-$285K total comp per posting,On the agent side Alex isn't theoretical -- his solo-built CreateSuite is an autonomous multi-agent orchestration system with git-backed persistence spanning six model providers. That pairs naturally with SecurityScorecard's push into Agentic AI workflows for risk detection/response and his developer-facing AI API platform at LBR.,"Open on CreateSuite's multi-agent orchestration, then show the LBR oRPC AI API workspace as production-grade proof. Pitch him as a builder-PM at IC/lead level -- a deliberate, honest framing given the seniority of this title.",Open
28,6,SecurityScorecard,"Senior Product Manager, AI",Hybrid,$175K-$285K total comp per posting (overlaps Principal band),On the agent side Alex isn't theoretical -- his solo-built CreateSuite is an autonomous multi-agent orchestration system with git-backed persistence spanning six model providers. That pairs naturally with SecurityScorecard's push into Agentic AI workflows for risk detection/response and his developer-facing AI API platform at LBR.,"Lead with the agent story (CreateSuite: autonomous orchestration, git-backed persistence, six providers) and back it with LBR's type-safe AI API workspace. Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
29,6,SpotOn,Product Manager (Dashboard),On-site,$150K-$185K base per posting; total ~$170K-$230K with equity (posting),Alex brings enterprise platform depth -- re-architecting LBR's identity and subscription systems at billions of requests/mo -- alongside a personally built multi-agent system. Both serve SpotOn's AI/automation in restaurant operations.,"Open on platform scope -- LBR's identity/subscription infrastructure -- and add the AI API workspace. Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
30,4,"Aledade, Inc.","Senior Technical Product Manager (AI Data Platform), Remote",Remote,~$170K-$220K base + equity for Senior TPM at Aledade (Glassdoor/estimate).,"For a platform/devtools mandate, Alex brings receipts -- at LBR Alex shipped a type-safe AI API workspace (oRPC) with self-improving accuracy -- a developer-facing AI platform in TypeScript -- plus a personally built multi-agent system across six providers. Both connect to Aledade, Inc.'s AI/data platform for risk stratification.","Anchor on LBR's AI API platform and TypeScript devtools, supported by live personal builds. Pitch him as an engineering-fluent PM who can take AI/data platform for risk stratification from concept to shipped product.",Open
